"","center","Qst.LL","Qst.AIC","Qst.dAIC","AvgSpurF.LL","AvgSpurF.AIC","AvgSpurF.dAIC","AvgSpurM.LL","AvgSpurM.AIC","AvgSpurM.dAIC","MassF.LL","MassF.AIC","MassF.dAIC","mtdna.s.LL","mtdna.s.AIC","mtdna.s.dAIC","facialshieldlenF.LL","facialshieldlenF.AIC","facialshieldlenF.dAIC","facialshieldlenM.LL","facialshieldlenM.AIC","facialshieldlenM.dAIC","facialshieldwidF.LL","facialshieldwidF.AIC","facialshieldwidF.dAIC","facialshieldwidM.LL","facialshieldwidM.AIC","facialshieldwidM.dAIC","dorsal.LL","dorsal.AIC","dorsal.dAIC","facial.LL","facial.AIC","facial.dAIC","phenHI.LL","phenHI.AIC","phenHI.dAIC"
"C08",465,489.713607555281,-967.427215110562,84.7612393267766,-157.571935767609,319.143871535217,8.98926839290141,-184.637014912208,381.274029824417,2.58658989136802,-313.500627419317,639.001254838633,7.78980242993612,-16.851388461887,35.702776923774,25.7937705849438,-128.584860336509,269.169720673017,38.9636023773347,-173.399615513608,350.799231027217,8.36955004672018,-129.915938875082,263.831877750163,0.301485159023969,-166.484105418812,344.968210837625,6.83658673258884,207.390160332436,-394.780320664871,45.6736207342254,347.07750833734,-674.15501667468,17638.4738953641,294.69381212856,-577.387624257119,24.4250741347561
"C09",470,512.016487065923,-1012.03297413185,40.1554803054923,-157.913555859168,319.827111718336,9.67250857602056,-183.343720054776,378.687440109551,1.76502283011359e-07,-313.54872736704,639.09745473408,7.88600232538283,-13.915752203475,29.8315044069499,19.9224980681197,-128.664744578679,269.329489157358,39.1233708616749,-172.452738734654,348.905477469307,6.47579648881077,-130.453423504058,264.906847008116,1.37645441697691,-163.519594736707,339.039189473415,0.907565368379153,198.016526176998,-376.033052353997,64.4208890450997,317.484088047587,-614.968176095174,17697.6607359436,302.054330161266,-592.108660322531,9.70403806934371
"FacAd",474.7498,527.386612798159,-1042.77322559632,9.41522884102028,-158.247271391888,320.494542783776,10.3399396414601,-183.343719967127,378.687439934254,1.20553522720002e-09,-313.466183476643,638.932366953286,7.72091454458882,-10.9504672634494,23.9009345268989,13.9919281880687,-128.541976458088,269.083952916175,38.8778346204926,-171.636658001299,347.273316002598,4.84363502210124,-131.229002320903,266.458004641807,2.92761205066728,-163.228700902141,338.457401804282,0.325777699246203,207.893677102347,-395.787354204694,44.6665871944022,254.733068383892,-489.466136767783,17823.162775271,306.336901677661,-600.673803355323,1.1388950365523
"C10",475,527.597046123703,-1043.19409224741,8.99436218993264,-158.265091307803,320.530182615606,10.3755794732904,-183.34371996659,378.687439933181,1.31763044919353e-10,-313.46143898526,638.92287797052,7.71142556182281,-10.7922579398388,23.5845158796776,13.6755095408474,-128.537444386107,269.074888772214,38.8687704765311,-171.596220727597,347.192441455194,4.76276047469747,-131.275584639765,266.55116927953,3.02077668839115,-163.207647674069,338.415295348138,0.283671243102162,208.934962160415,-397.869924320829,42.5840170782673,320.002250892739,-620.004501785478,17692.6244102533,306.454862301837,-600.909724603674,0.90297378820128
"PhenHI",476.71,529.10638523774,-1046.21277047548,5.9756839618592,-158.387515297368,320.775030594735,10.6204274524193,-183.343719966524,378.687439933049,0,-313.419372194121,638.838744388242,7.62729197954491,-9.71575624216359,21.4315124843272,11.522506145497,-128.511440899783,269.022881799565,38.8167635038827,-171.327177039408,346.654354078815,4.22467309831848,-131.606410123298,267.212820246596,3.68242765545654,-163.10058829289,338.201176585781,0.0695524807449601,219.359416291028,-418.718832582057,21.7351088170399,292.815915989475,-565.631831978951,17746.9970800598,306.906349195938,-601.812698391875,0
"FacLenF",477.8654,530.081710158591,-1048.16342031718,4.02503412015562,-158.470853248004,320.941706496008,10.7871033536927,-183.343719966527,378.687439933053,4.49063009000383e-12,-313.365910481641,638.731820963281,7.52036855458402,-8.99991392861421,19.9998278572284,10.0908215183982,-128.499049785671,268.998099571342,38.7919812756592,-171.15284805623,346.305696112459,3.87601513196245,-131.840644413268,267.681288826536,4.15089623539671,-163.070807174544,338.141614349089,0.00999024405280124,224.368536545325,-428.73707309065,11.7168683084467,284.937895712782,-549.875791425564,17762.7531206132,306.817571281682,-601.635142563365,0.177555828510663
"C11",480,531.419625248547,-1050.83925049709,1.34920394024516,-158.626113530315,321.25222706063,11.0976239183146,-183.343719966558,378.687439933116,6.66773303237278e-11,-312.97714022269,637.954280445381,6.74282803668359,-7.72993677341899,17.459873546838,7.55086720800778,-128.488950787373,268.977901574746,38.7717832790636,-170.847341465042,345.694682930084,3.2650019495876,-132.290034336486,268.580068672972,5.04967608183296,-163.065812052518,338.131624105036,0,226.704248865607,-433.408497731215,7.04544366788167,311.830533609076,-603.661067218152,17708.9678448206,305.547143085965,-599.094286171931,2.7184122199443
"Qst",483.2081,532.094227218669,-1052.18845443734,0,-158.862546650057,321.725093300113,11.5704901577976,-183.731498909387,379.462997818774,0.775557885724993,-314.070933574677,640.141867149354,8.93041474065626,-6.05742665156493,14.1148533031299,4.20584696429965,-128.514891296241,269.029782592483,38.8236642968,-170.431013654755,344.86202730951,2.43234632901385,-132.98579318677,269.97158637354,6.44119378240066,-164.161929428699,340.323858857399,2.19223475236294,229.798210439838,-439.596420879676,0.857520519420518,281.458581323475,-542.917162646949,17769.7117493918,299.202248085848,-586.404496171695,15.4082022201798
"C12",485,531.873370030416,-1051.74674006083,0.441714376505388,-158.996186007739,321.992372015478,11.837768873162,-183.808002920247,379.616005840493,0.928565907444295,-314.128043522309,640.256087044618,9.0446346359206,-5.30928352805517,12.6185670561103,2.70956071728013,-128.558050464531,269.116100929061,38.9099826333787,-170.222231721505,344.44446344301,2.01478246251366,-133.375063806097,270.750127612194,7.21973502105476,-164.427085710606,340.854171421213,2.72254731617676,229.872460381624,-439.744920763249,0.709020635847651,297.739229125386,-575.478458250771,17737.150453788,293.660153430496,-575.320306860991,26.4923915308838
"DorAd",487.3008,531.168944879506,-1050.33788975901,1.85056467832669,-159.169397229351,322.338794458702,12.1841913163865,-183.894334702968,379.788669405935,1.10122947288653,-314.127276750251,640.254553500501,9.04310109180381,-4.59038886355108,11.1807777271022,1.27177138827195,-128.649465821562,269.298931643125,39.092813347442,-169.98058930435,343.9611786087,1.53149762820379,-133.869469285591,271.738938571183,8.20854598004343,-164.523334312516,341.046668625033,2.91504451999691,230.226970699548,-440.453941399097,0,245.374837603324,-470.749675206648,17841.8792368321,287.358793750936,-562.717587501872,39.0951108900031
"C13",490,529.796035596504,-1047.59207119301,4.59638324432945,-159.374865959799,322.749731919598,12.5951287772821,-183.992558462467,379.985116924934,1.29767699188562,-314.129163443348,640.258326886696,9.04687447799836,-4.10079649245232,10.2015929849046,0.292586646074424,-128.804138031201,269.608276062401,39.4021577667183,-169.736830786369,343.473661572738,1.04398059224155,-134.441298272934,272.882596545868,9.35220395472902,-164.668794332284,341.337588664568,3.2059645595325,229.526863835671,-439.053727671341,1.40021372775533,210.592684182846,-401.185368365692,17911.4435436731,281.003536320708,-550.007072641415,51.8056257504601
"FacWidM",491.0478,529.030118798723,-1046.06023759745,6.12821683989137,-159.455271325192,322.910542650385,12.7559395080688,-184.032296899609,380.064593799218,1.37715386616873,-314.132942751279,640.265885502557,9.05443309385976,-4.00640582837262,10.0128116567452,0.103805317915041,-128.873910206536,269.747820413072,39.5417021173892,-169.654198676646,343.308397353291,0.878716372794656,-134.661922127763,273.323844255527,9.79345166438736,-164.773688963536,341.547377927072,3.41575382203627,227.832332575437,-435.664665150873,4.78927624822313,177.561866121039,-335.123732242079,17977.5051797967,278.471793026008,-544.943586052015,56.8691123398602
"mtdna.s",492.5784,528.084591933923,-1044.16918386785,8.01927056949262,-159.573360981762,323.146721963523,12.9921188212075,-184.093338561687,380.186677123375,1.49923719032614,-314.142751501508,640.285503003015,9.07405059431801,-3.9545031694151,9.90900633883021,0,-128.981047220007,269.962094440013,39.7559761443304,-169.545879632722,343.091759265444,0.662078284947881,-134.984227425291,273.968454850582,10.438062259443,-164.994836442631,341.989672885262,3.85804878022623,228.282022438564,-436.564044877127,3.88989652196955,269.690746224926,-519.381492449852,17793.2474195889,274.570794648171,-537.141589296342,64.6711090955332
"C14",495,526.168236732725,-1040.33647346545,11.8519809718889,-159.761705977366,323.523411954732,13.3688088124164,-184.193166622033,380.386333244066,1.69889331101683,-314.170937574865,640.341875149729,9.13042274103202,-4.05611322895951,10.112226457919,0.203220119088822,-129.153748383609,270.307496767218,40.101378471535,-169.405169648718,342.810339297436,0.380658316939503,-135.497594569167,274.995189138333,11.4647965471941,-165.561676609637,343.123353219275,4.99172911423909,224.878024317024,-429.756048634048,10.6978927650482,258.947607616787,-497.895215233573,17814.7336968052,273.048664102188,-534.097328204376,67.7153701874992
"C15",500,518.80395105173,-1025.60790210346,26.5805523338779,-160.156255602919,324.312511205838,14.1579080635224,-184.210069337696,380.420138675393,1.73269874234416,-313.729871641895,639.45974328379,8.24829087509238,-4.82491366616071,11.6498273323214,1.74082099349122,-129.491138862462,270.982277724925,40.7761594292422,-169.236363881915,342.472727763831,0.043046783334205,-136.591437039767,277.182874079534,13.6524814883942,-167.405803598458,346.811607196915,8.67998309187925,204.056710570934,-388.113421141868,52.3405202572284,202.170004527134,-384.340009054268,17928.2889029845,263.444591481374,-514.889182962747,86.923515429128
"FacLenM",503.0938,514.1550824849,-1016.3101649698,35.8782894675385,-160.40405061833,324.80810123666,14.6534980943441,-184.380029688095,380.76005937619,2.07261944314098,-313.720604391937,639.441208783874,8.22975637517641,-5.57784703013878,13.1556940602776,3.24668772144736,-129.683476692948,271.366953385896,41.1608350902135,-169.214840490248,342.429680980497,0,-137.303365153787,278.606730307575,15.0763377164357,-168.685057194495,349.37011438899,11.2384902839547,208.340257887804,-396.680515775608,43.7734256234883,148.743562658875,-277.48712531775,18035.141786721,238.20378209909,-464.40756419818,137.405134193695
"C16",510,496.411960788186,-980.823921576373,71.3645328609655,-160.966675655604,325.933351311209,15.7787481688931,-184.371143809878,380.742287619756,2.05484768670692,-313.71838290753,639.43676581506,8.22531340636272,-7.72823572762514,17.4564714552503,7.54746511642008,-130.088633200383,272.177266400766,41.9711481050829,-169.391350444883,342.782700889765,0.353019909268596,-139.015550217872,282.031100435743,18.500707844604,-171.708401952909,355.416803905817,17.2851798007816,200.964370105547,-381.928740211095,58.5252011880019,127.79135252776,-235.58270505552,18077.0462069832,222.877581803798,-433.755163607597,168.057534784278
"AvgSpurM",525.1619,453.871089700222,-895.742179400444,156.446275036895,-162.24274505088,328.485490101759,18.3308869594434,-184.380585822758,380.761171645515,2.07373171246633,-313.107416477985,638.21483295597,7.00338054727285,-13.2955575156347,28.5911150312694,18.6821086924392,-130.736033173758,273.472066347515,43.2659480518325,-170.786205712385,345.57241142477,3.14273044427352,-143.31829233982,290.636584679639,27.1061920884999,-176.392919196565,364.785838393131,26.6542142880949,176.280428278206,-332.560856556411,107.893084842685,125.747020227747,-231.494040455494,18081.1348715833,154.530315568069,-297.060631136138,304.752067255737
"C17",550.5,453.158951242047,-894.317902484094,157.870551953245,-164.472205768974,332.944411537948,22.7898083956322,-184.484784193275,380.96956838655,2.28212845350089,-311.228474766481,634.456949532961,3.24549712426392,-21.5093784843758,45.0187569687516,35.1097506299214,-133.734067699377,279.468135398753,49.2620171030707,-175.818710064645,355.63742012929,13.2077391487937,-150.417658221741,304.835316443482,41.3049238523424,-187.725195788369,387.450391576739,49.3187674717032,168.225975986433,-316.451951972865,124.001989426231,193.527377639134,-367.054755278269,17945.5741567605,128.653969855406,-245.307939710812,356.504758681063
"C18",591,311.6092227449,-611.2184454898,440.970008947538,-168.171012385554,340.342024771108,30.1874216287918,-185.022047876023,382.044095752046,3.35665581899667,-309.676413738482,631.352827476964,0.141375068266484,-29.4650475844421,60.9300951688843,51.0210888300541,-136.303796631776,284.607593263551,54.4014749678685,-183.26878687703,370.537573754061,28.1078927735643,-158.069486022844,320.138972045688,56.6085794545485,-194.270275230125,400.540550460251,62.4089263552149,58.6223885048918,-97.2447770097837,343.209164389313,-2.07459182861337,24.1491836572267,18336.778095696,33.2390447249725,-54.4780894499449,547.33460894193
"MassF",611.0013,304.39940623435,-596.798812468701,455.389641968638,-170.010184385282,344.020368770564,33.865765628248,-185.312399553158,382.624799106316,3.93735917326762,-309.605726204349,631.211452408697,0,-32.1239295240493,66.2478590480986,56.3388527092684,-114.774313224964,241.548626449927,11.3425081542445,-185.330550083718,374.661100167436,32.2314191869391,-160.665358843024,325.330717686049,61.8003250949095,-195.610412691141,403.220825382282,65.0892012772458,47.7698772135886,-75.5397544271772,364.914186971919,21.9765286873577,-23.9530573747154,18288.675854664,26.3599811394236,-40.7199622788471,561.092736113028
"C19",631.5,301.749727460336,-591.499454920672,460.688999516667,-171.877551826943,347.755103653886,37.6005005115699,-185.529355569658,383.058711139317,4.37127120626792,-309.92976452911,631.859529058219,0.64807664952184,-34.3557285066638,70.7114570133277,60.8024506744975,-130.303471463455,272.60694292691,42.4008246312268,-186.806315029932,377.612630059863,35.1829490793669,-162.783875710713,329.567751421427,66.0373588302874,-196.58940076187,405.178801523739,67.0471774187034,-5.87902031671262,31.7580406334252,472.211982032522,13.7023481150176,-7.40469623003522,18305.2242158087,21.1535810588782,-30.3071621177563,571.505536274119
"C20",672,187.585356943064,-363.170713886128,689.017740551211,-175.455999060575,354.91199812115,44.7573949788343,-185.793504395288,383.587008790576,4.89956885752736,-312.399745990814,636.799491981628,5.58803957293105,-37.6997774138611,77.3995548277221,67.4905484888919,-109.103059147841,230.206118295683,0,-188.702198676527,381.404397353053,38.9747163725565,-165.843533051228,335.687066102456,72.1566735113171,-197.892462477549,407.784924955098,69.653300850062,-32.3652538361991,84.7305076723982,525.184449071495,-6.05085764917441,32.1017152983488,18344.7306273371,14.0599374157237,-16.1198748314474,585.692823560428
